outer_fold,feature_index,feature,document_frequency,treated_count,control_count,raw_moment,standard_error,z_score,tail_score,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,tail_sign_agreement,eligible,ranking_score,rank
1,28620,unknown.,80,44,36,0.00010025531555022803,3.379534131891465e-05,2.966542477087424,0.31412366,1.0,1.0,0.7666666666666667,1.0,True,2.4473975435971247,70
1,11674,exertion hemoptysis wheezing,90,48,42,9.317939157441998e-05,2.9579067139161177e-05,3.1501801979094606,0.33270612,1.0,1.0,0.7,1.0,True,2.4413896533798316,71
1,885,- palliative,215,111,104,0.00010941316744040681,3.7083956252575574e-05,2.950417876000158,0.29581586,1.0,1.0,0.7666666666666667,1.0,True,2.4340947477001307,72
1,20084,none rashes psychiatric,62,29,33,7.899806454994645e-05,2.5295303266454972e-05,3.123032909224246,0.28996578,1.0,1.0,0.7,1.0,True,2.4203505046487903,73
1,5548,ambulatory capable,261,119,142,0.00011688215386844897,3.745379289399704e-05,3.1207027336123923,0.32672486,1.0,1.0,0.7,1.0,True,2.418544618549604,74
1,5549,ambulatory capable of,261,119,142,0.00011688215386844897,3.745379289399704e-05,3.1207027336123923,0.32672486,1.0,1.0,0.7,1.0,True,2.418544618549604,75
1,6289,appetite loss 20,109,60,49,-0.00010776720559552772,3.3614064453768664e-05,-3.206015319681025,-0.23786542,1.0,1.0,0.6666666666666666,1.0,True,2.4045114897607687,76
1,16647,loss 20,110,61,49,-0.00010728597235871285,3.351170565473208e-05,-3.201447681119846,-0.2373044,1.0,1.0,0.6666666666666666,1.0,True,2.4010857608398846,77
1,2839,3 months for,154,84,70,-8.999304842644186e-05,2.9168795068339195e-05,-3.085250803661869,-0.27484915,1.0,1.0,0.7,1.0,True,2.391069372837948,78
1,17723,met amplification egfr,39,22,17,-0.00011167238424567357,3.621618584934406e-05,-3.0834937922568715,-0.34136596,1.0,1.0,0.7,1.0,True,2.389707688999075,79
1,27876,to brain metastases,50,21,29,0.00012762719100106303,4.1395481093440346e-05,3.0831189209511862,0.41415358,1.0,1.0,0.7,1.0,True,2.389417163737169,80
1,19809,no residual or,195,105,90,-0.00011524431961892174,3.51408398074576e-05,-3.2794981636854494,-0.32249826,1.0,1.0,0.6333333333333333,1.0,True,2.377636168671951,81
1,16801,low-dose oral morphine,133,57,76,-9.770132994658113e-05,3.096570460368806e-05,-3.1551463529412076,-0.2826208,1.0,1.0,0.6666666666666666,1.0,True,2.366359764705906,82
1,1739,0.9 cm .,55,30,25,0.00010246899174542308,3.376462924865774e-05,3.034802810680842,0.32295287,1.0,1.0,0.7,1.0,True,2.351972178277652,83
1,11786,extracted,358,178,180,8.208506225645064e-05,2.61774799587673e-05,3.1357129252221587,0.30313855,1.0,1.0,0.6666666666666666,1.0,True,2.351784693916619,84
1,24613,residual or recurrent,217,118,99,-0.00012345713656945252,3.951852909204673e-05,-3.1240316733928943,-0.3639527,1.0,1.0,0.6666666666666666,1.0,True,2.343023755044671,85
1,10714,dominated by,153,74,79,-8.382911382723332e-05,2.691746881265624e-05,-3.114301512177028,-0.3187275,1.0,1.0,0.6666666666666666,1.0,True,2.335726134132771,86
1,10713,dominated,153,74,79,-8.382911382723332e-05,2.691746881265624e-05,-3.114301512177028,-0.3187275,1.0,1.0,0.6666666666666666,1.0,True,2.335726134132771,87
1,28027,to radiation,229,117,112,0.00010514878174824866,3.383293571930455e-05,3.1078822902220806,0.2802795,1.0,1.0,0.6666666666666666,1.0,True,2.3309117176665604,88
1,12276,flair diffusion-weighted imaging,345,189,156,9.717464538085525e-05,3.130780502137216e-05,3.1038472775245447,0.35272276,1.0,1.0,0.6666666666666666,1.0,True,2.3278854581434087,89
1,712,- mother died,155,62,93,0.00011347339745627537,3.4478243635087776e-05,3.291159452820732,0.2223127,1.0,1.0,0.6,1.0,True,2.3038116169745124,90
1,26481,studies -,276,150,126,-9.478660754116356e-05,3.023504909217897e-05,-3.1349910248924457,-0.3623909,1.0,1.0,0.6333333333333333,1.0,True,2.272868493047023,91
1,18427,morphine,210,89,121,-0.00010655792251202299,3.518698253321711e-05,-3.028333629103618,-0.23831445,1.0,1.0,0.6666666666666666,1.0,True,2.2712502218277137,92
1,19343,nightly. -,170,74,96,-0.00010759899661023219,3.332779557840108e-05,-3.228506258600687,-0.34926572,1.0,1.0,0.6,1.0,True,2.2599543810204805,93
